Locality,Name,Street_Address,Acres,Building_Sq_Ft,Construction_Type,Build_Status,Lat,Long,Date_Updated,Lat1
Caroline County,Mattameade Tech Campus,Stonewall Jackson Road just east of the Mudd Tavern,916.07,"4,500,000",New,Proposed,38.11464706,-77.49115332,4/10/2024,38.11464706
Caroline County,VALCO Data Center Park,Mt Airy Road,855,"1,216,000",New,Proposed,37.92410305,-77.54387212,4/10/2024,37.92410305
Caroline County,Carmel Church Data Hub,Welcom Way Dr,97,"1,600,000",New,Proposed,37.93932712,-77.47797277,4/10/2024,37.93932712
Chesterfield County,Digital Fortress: Richmond,1401 MEADOWVILLE TECH PARKWAY,74.8,"242,042",Complete,Existing,37.36048164,-77.3274112,4/10/2024,37.36048164
Chesterfield County,Virginia Information Technologies Agency,11751 MEADOWVILLE LANE,28.14,"192,195",Complete,Existing,37.36041473,-77.33177783,4/10/2024,37.36041473
Culpeper County,Equinix,  18155 TECHNOLOGY DR,30.12,"370,000",Complete,Existing,38.45493884,-77.9782759,4/10/2024,38.45493884
Culpeper County,SWIFT,,,"90,000",Complete,Existing,38.45553926,-77.98348028,4/10/2024,38.45553926
Culpeper County,Cielo Digital Infrastructure,Cielo Digital Infrastructure,120.89,"1,400,000",New,Proposed,38.46678642,-77.96353121,4/10/2024,38.46678642
Culpeper County,CloudHQ,14521 MCDEVITT DR,98.56,"2,100,000",New,Proposed,38.46163914,-77.97761531,4/10/2024,38.46163914
Culpeper County,Copper Ridge,,,"2,200,000",New,Proposed,38.46529475,-77.98738914,4/10/2024,38.46529475
Culpeper County,Culpeper Technology Campus,,,"2,100,000",New,Proposed,38.460241,-77.98773076,4/10/2024,38.460241
Culpeper County,Marvell Developments,20420 GERMANNA HWY,223.28,"445,000",New,Proposed,38.43580249,-77.87576086,4/10/2024,38.43580249
Culpeper County,DataBank,14601 GERMANNA HWY,84.79,"900,000",New,Proposed,38.44995873,-77.97818589,4/10/2024,38.44995873
Culpeper County,Keyser Farm,15140 KEYSER RD,61.75,1506582,New,Proposed,38.46971066,-77.97375268,4/10/2024,38.46971066
Fairfax County,Amazon Web Services Mallory,14501 AVION PKWY,47.69,"440,870","Operating, Expanding",Existing,38.90492701,-77.45381063,4/10/2024,38.90492701
Fairfax County,AWS Westfax A,4101 WESTFAX DR ,6.02,"95,000",Complete,Existing,38.89798901,-77.45402906,4/10/2024,38.89798901
Fairfax County,AWS Westfax B,4100 WESTFAX DR,7.05,"95,000",Complete,Existing,38.89959217,-77.45343897,4/10/2024,38.89959217
Fairfax County,BIT HOLDINGS FIFTY-FOUR,12902 FEDERAL SYSTEMS PARK DR,14.06,"338,364",Complete,Existing,38.86084188,-77.39341084,4/10/2024,38.86084188
Fairfax County,CHANTILLY TECHNOLOGY PARTNERS,4030 LAFAYETTE CENTER DR,11.62,"145,409",Complete,Existing,38.91006955,-77.47269439,4/10/2024,38.91006955
Fairfax County,COPT STONECROFT,4850 STONECROFT BLVD,64.12,"320,330",Complete,Existing,38.87626236,-77.46177616,4/10/2024,38.87626236
Fairfax County,Coresite 12100 SV & 12098 SV,12379 A SUNRISE VALLEY DR,12.68,"332,957","Operating, Expanding",Existing,38.94845694,-77.371707,4/10/2024,38.94845694
Fairfax County,Coresite 12100 SV & 12098 SV,12379 A SUNRISE VALLEY DR,0,"610,643",Expansion,Proposed,38.94845694,-77.371707,4/10/2024,38.94845694
Fairfax County,SUNRISE TECHNOLOGY PARK,12098 SUNRISE VALLEY DR,13.74,"423,341",Complete,Existing,38.95070431,-77.36489041,4/10/2024,38.95070431
Fairfax County,LEMUR PROPERTIES LLC,1780 BUSINESS CENTER DR,8.58,"264,888",Complete,Existing,38.94855576,-77.32713967,4/10/2024,38.94855576
Fairfax County,ELIAS DC ASSETS,1764 A OLD MEADOW LN,1.97,"69,089",Complete,Existing,38.91997921,-77.21347607,4/10/2024,38.91997921
Fairfax County,Equinix DC 97,460 SPRINGPARK PL,2.99,"63,912",Complete,Existing,38.96167052,-77.37743129,4/10/2024,38.96167052
Fairfax County,LEE ROAD PROPERTY,14558 LEE RD,1.25,"20,118",Complete,Existing,38.89053684,-77.45367771,4/10/2024,38.89053684
Fairfax County,Northrop Grumman Systems Corporation,7555 COLSHIRE DR,11.79,"602,257",Complete,Existing,38.92187671,-77.20684374,4/10/2024,38.92187671
Fairfax County,Northrop Grummon Systems Corporation,2980 FAIRVIEW PARK DR,6.44,"358,898",Complete,Existing,38.86781411,-77.21562208,4/10/2024,38.86781411
Fairfax County,RDC-1807 MICHAEL FARADAY COURT,1807 MICHAEL FARADAY CT ,1.9,"30,609",Complete,Existing,38.94886307,-77.32922339,4/10/2024,38.94886307
Fairfax County,Roosevelt Building,1755 OLD MEADOW RD,3.76,"72,546",Complete,Existing,38.91998209,-77.21175663,4/10/2024,38.91998209
Fairfax County,Science Applications International Corp (SAIC),12010 SUNSET HILLS RD,6.42,0,Complete,Existing,38.95265185,-77.3499866,4/10/2024,38.95265185
Fairfax County,TFG INDEPENDENCE CENTER I PROPERTY,15036 CONFERENCE CENTER DR,10.9,"293,514",Complete,Existing,38.88027303,-77.46223559,4/10/2024,38.88027303
Fairfax County,Tysons Enterprise West,7990 Quantum Dr,0,"202,500",Complete,Existing,38.90900557,-77.22049996,4/10/2024,38.90900557
Fairfax County,VA 95 BUILDING NINE LP,7600 BOSTON BLVD,4.32,"69,832",Complete,Existing,38.73919219,-77.20798002,4/10/2024,38.73919219
Fairfax County,Valo Park,7950 JONES BRANCH DR,16.74,"842,366",Complete,Existing,38.93238559,-77.21859114,4/10/2024,38.93238559
Fairfax County,AVION DATA CENTER,14501 AVION PKWY,0,"768,392",Expansion,Proposed,38.90454295,-77.45267338,4/10/2024,38.90454295
Fairfax County,AWS Loisdale Station,7961 Loisdale Rd,23.41,"240,000",New,Proposed,38.74226677,-77.18642689,4/10/2024,38.74226677
Fairfax County,"PARKSTONE TECH PARK, LLC",Conference Center Dr,18.92,"500,000",New,Proposed,38.87255032,-77.46563256,4/10/2024,38.87255032
Fairfax County,PDCREF 2 Chantilly,Lee Jackson Memorial HWY,79.14,"402,000",New,Proposed,38.90305684,-77.46525084,4/10/2024,38.90305684
